Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Force (N),Acceleration - x (m/så_),Acceleration - y (m/så_),Acceleration - z (m/så_),Acceleration - resultant (m/så_),Angular Velocity - x (rad/s),Angular Velocity - y (rad/s),Angular Velocity - z (rad/s)
0,-5.36,-61.2,-2.7,-5,61.5,-26.1,8.7,7.8
0.01,-5.18,-60.7,-2.7,-5.3,61,-26.1,7.5,8.4
0.02,-5.18,-58.8,-2.6,-6,59.2,-26.1,4.2,10.4
0.03,-5.28,-58.1,-2,-6.6,58.5,-25.9,-0.7,12.2
0.04,-5.45,-58.8,-0.9,-6.6,59.2,-25.3,-4.9,12.3
0.05,-5.54,-59.6,0.1,-6.2,59.9,-24.4,-8.3,11.4
0.06,-5.49,-59.7,0.8,-5.3,59.9,-23.4,-10,9.7
0.07,-5.37,-58.5,1.2,-4.4,58.7,-22.5,-10,7.7
0.08,-5.36,-57.1,1.5,-3.7,57.2,-21.8,-9,5.6
0.09,-5.4,-56.3,2,-3.6,56.5,-21.1,-7.9,3.3
0.1,-5.29,-56.4,2.8,-4,56.6,-20.5,-7.5,0.8
0.11,-4.42,-53.7,3.5,-4.4,54,-20,-7.8,-2
0.12,-4.81,-50.9,4,-4.1,51.2,-19.7,-8.2,-4.9
0.13,-5.13,-48.4,4.1,-3.6,48.7,-19.7,-7.2,-7.7
0.14,-5.23,-50.4,4.2,-3.7,50.7,-19.9,-5.5,-10.5
0.15,-5.65,-53.2,4.3,-4.7,53.5,-20.2,-4.3,-13.4
0.16,-6.5,-56.6,3.5,-5.1,56.9,-20.4,-3.9,-16
0.17,-7.31,-64.5,1.4,-4.9,64.7,-20.4,-2.4,-18
0.18,-7.85,-72.2,-0.2,-4.9,72.4,-20,-0.5,-18.4
0.19,-8,-78.3,-2.1,-5.2,78.5,-19.3,1.1,-17.6
0.2,-7.84,-80.5,-4.5,-5,80.8,-18.5,2.2,-15.4
0.21,-7.48,-79.6,-5.3,-4.1,79.9,-17.6,3.4,-11.7
0.22,-7.05,-76.4,-3.8,-2.9,76.6,-16.8,5.4,-8.6
0.23,-6.7,-72.6,-1.9,-2.2,72.7,-15.9,8.2,-7.1
0.24,-6.39,-69.2,-1.3,-2.2,69.2,-14.9,11.2,-6.8
0.25,-6.06,-66.2,-1.5,-2.3,66.3,-13.7,13.8,-6.6
0.26,-5.6,-63.3,-1.6,-2.6,63.4,-12.4,15.8,-6.3
0.27,-5.02,-59.8,-1.7,-3.2,59.9,-11,16.9,-6.1
